,Dishes,sum_Energy,sum_Protein,sum_TotalFat,sum_SaturatedFat,sum_TransFat,sum_Carbohydrate,sum_Sugars,sum_Sodium,Types
650,"Caesar_Chicken_Cold_Wrap,Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",891,60.400000000000006,39.6,9.7,0,73.3,9.8,2089,"Meat,Sandwich,Wrap"
651,"Caesar_Chicken_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast",835,59.7,32.0,8.100000000000001,0,77.1,10.6,2148,"Meat,Sandwich,Wrap"
652,"Caesar_Chicken_Cold_Wrap,Peking_Duck_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast",803,58.60000000000001,30.4,7.300000000000001,0,73.9,9.3,1995,"Meat,Sandwich,Wrap"
653,"Caesar_Chicken_Cold_Wrap,Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",861,60.900000000000006,34.1,7.300000000000001,0,77.6,8.2,2069,"Meat,Sandwich,Wrap"
654,"Caesar_Chicken_Cold_Wrap,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Chef_Salad",775,58.00000000000001,32.3,6.5,0,62.9,8.2,1941,"Meat,Salad,Wrap"
655,"Caesar_Chicken_Cold_Wrap,Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast",764,60.400000000000006,31.5,6.5,0,59.800000000000004,8.799999999999999,1928,"Meat,Salad,Wrap"
656,"Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",771,48.2,35.2,9.399999999999999,0,65.4,11.3,2136,"Meat,Sandwich,Wrap"
657,"Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich,Herbs_Chicken_Breast",739,47.10000000000001,33.6,8.6,0,62.2,10.0,1983,"Meat,Sandwich,Wrap"
658,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",797,49.400000000000006,37.300000000000004,8.6,0,65.9,8.9,2057,"Meat,Sandwich,Wrap"
659,"Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Chef_Salad",711,46.50000000000001,35.5,7.799999999999999,0,51.2,8.9,1929,"Meat,Salad,Sandwich,Wrap"
660,"Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",700,48.900000000000006,34.7,7.799999999999999,0,48.10000000000001,9.5,1916,"Meat,Salad,Sandwich,Wrap"
661,"Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast",683,46.400000000000006,26.0,7.0,0,66.0,10.8,2042,"Meat,Sandwich,Wrap"
662,"Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",741,48.7,29.700000000000003,7.0,0,69.7,9.7,2116,"Meat,Sandwich,Wrap"
663,"Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Chef_Salad",655,45.800000000000004,27.900000000000002,6.199999999999999,0,55.0,9.7,1988,"Meat,Salad,Sandwich,Wrap"
664,"Chicken_Caesar_Salad,Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast",644,48.2,27.1,6.199999999999999,0,51.900000000000006,10.299999999999999,1975,"Meat,Salad,Sandwich,Wrap"
665,"Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich,Herbs_Chicken_Breast",709,47.6,28.1,6.199999999999999,0,66.5,8.4,1963,"Meat,Sandwich,Wrap"
666,"Peking_Duck_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast,Chef_Salad",623,44.7,26.3,5.4,0,51.8,8.4,1835,"Meat,Salad,Sandwich,Wrap"
667,"Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast",612,47.1,25.5,5.4,0,48.7,9.0,1822,"Meat,Salad,Sandwich,Wrap"
668,"Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Chef_Salad",681,47.00000000000001,30.0,5.4,0,55.5,7.299999999999999,1909,"Meat,Salad,Sandwich,Wrap"
